admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Panjpai,PK72602,Quetta,PK726,Balochistan,PK7,Pakistan,PK,20726.00
Pano Aqil,PK81801,Sukkur,PK818,Sindh,PK8,Pakistan,PK,435823.00
Parome,PK72403,Panjgur,PK724,Balochistan,PK7,Pakistan,PK,39032.00
Pasni,PK70604,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,61396.00
Pasrur,PK63402,Sialkot,PK634,Punjab,PK6,Pakistan,PK,840881.00
Pattan,PK21203,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK,202933.00
Pattoki,PK61403,Kasur,PK614,Punjab,PK6,Pakistan,PK,934329.00
Peshawar,PK21901,Peshawar,PK219,Khyber Pakhtunkhwa,PK2,Pakistan,PK,4269079.00
Phalia,PK62003,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK,553416.00
Phelawagh,PK70502,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK,115896.00
Pind Dadan Khan,PK61303,Jhelum,PK613,Punjab,PK6,Pakistan,PK,336852.00
Pindi Bhattian,PK61102,Hafizabad,PK611,Punjab,PK6,Pakistan,PK,493222.00
Pindi Gheb,PK60106,Attock,PK601,Punjab,PK6,Pakistan,PK,271594.00
Pindiali,PK23503,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,88363.00
Piplan,PK62103,Mianwali,PK621,Punjab,PK6,Pakistan,PK,403938.00
Pir Baba/ Gadaizi,PK20405,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,152975.00
Pishin,PK72503,Pishin,PK725,Balochistan,PK7,Pakistan,PK,494595.00
Pithoro,PK82302,Umerkot,PK823,Sindh,PK8,Pakistan,PK,119971.00
Prang Ghar,PK23504,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,35290.00
Puran,PK22005,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,108902.00
Qasimabad,PK80402,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,304899.00
Quaidabad,PK61603,Khushab,PK616,Punjab,PK6,Pakistan,PK,230320.00
Qubo Saeed Khan,PK81505,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,85970.00
Quetta City,PK72601,Quetta,PK726,Balochistan,PK7,Pakistan,PK,2254973.00
Rahim Yar Khan,PK62803,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,1530330.00
Rajanpur,PK62903,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,706868.00
Ratodero,PK81004,Larkana,PK810,Sindh,PK8,Pakistan,PK,331584.00
Rawalpindi,PK63006,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,3258547.00
Razmak,PK23607,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,17629.00
Renala Khurd,PK62603,Okara,PK626,Punjab,PK6,Pakistan,PK,458572.00
Rohri,PK81802,Sukkur,PK818,Sindh,PK8,Pakistan,PK,371104.00
Rojhan,PK62904,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,405774.00
Sadiqabad,PK62804,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,1264752.00
Safdarabad,PK62402,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK,272500.00
Safi,PK23505,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,99114.00
Sahiwal (Sahiwal),PK63102,Sahiwal,PK631,Punjab,PK6,Pakistan,PK,1491553.00
Sahiwal (Sardogha),PK63203,Sargodha,PK632,Punjab,PK6,Pakistan,PK,656395.00
Sakrand,PK81604,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,372875.00
Salarzai Tehsil,PK23206,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,268517.00
Salehpat,PK81803,Sukkur,PK818,Sindh,PK8,Pakistan,PK,129619.00
Sam Ranizai,PK21501,Malakand PA,PK215,Khyber Pakhtunkhwa,PK2,Pakistan,PK,304112.00
Samar Bagh,PK21401,Lower Dir,PK214,Khyber Pakhtunkhwa,PK2,Pakistan,PK,378608.00
